objectId,witness
sp_359_Normalized,"{""accessKeyId"":"""",""secretAccessKey"":"""",""awsRegion"":"""",""purpose"":""DUPLICATE_TRACKING"",""name"":"""",""dynamodbTable"":""""}"
sp_253_Normalized,"{""costModel"":""cpa""}"
sp_298_Normalized,"{""osVersion"":"""",""osType"":"""",""deviceModel"":"""",""deviceManufacturer"":""""}"
sp_381_Normalized,{}
sp_144_Normalized,{}
sp_145_Normalized,"{""name"":""""}"
sp_252_Normalized,"{""costModel"":""cpa""}"
sp_363_Normalized,"{""nodesWanOnly"":true,""purpose"":""FAILED_EVENTS"",""port"":1,""host"":"""",""name"":"""",""index"":"""",""type"":""""}"
sp_251_Normalized,"{""targetUrl"":""\u0000""}"
sp_108_Normalized,{}
sp_190_Normalized,{}
sp_188_Normalized,{}
sp_154_Normalized,{}
sp_149_Normalized,"{""name"":"""",""sku"":""""}"
sp_232_Normalized,"{""name"":"""",""state"":""PENDING""}"
sp_266_Normalized,"{""sessionIndex"":0,""storageMechanism"":""SQLITE"",""sessionId"":"""",""previousSessionId"":"""",""userId"":""0000000000000000""}"
sp_283_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""excludeParameters"":[],""hashAlgorithm"":""MD5""},""enabled"":true}"
sp_35_Normalized,{}
sp_277_Normalized,"{""message"":""""}"
sp_399_Normalized,{}
sp_255_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""anonOctets"":1.328131358929495},""enabled"":true}"
sp_313_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""internalDomains"":[],""database"":"""",""uri"":""""},""enabled"":true}"
sp_47_Normalized,"{""name"":"""",""transactionId"":""""}"
sp_407_Normalized,"{""org_id"":-2147483648,""created_at"":"""",""action"":"""",""object_id"":0}"
sp_299_Normalized,"{""osVersion"":"""",""osType"":"""",""deviceModel"":"""",""deviceManufacturer"":""""}"
sp_34_Normalized,{}
sp_386_Normalized,{}
sp_246_Normalized,"{""execution"":{""timeToLive"":0,""semantics"":""AT_LEAST_ONCE""},""whenCreated"":"""",""commandId"":"""",""tags"":{}}"
sp_392_Normalized,{}
sp_72_Normalized,{}
sp_66_Normalized,"{""id"":""""}"
sp_230_Normalized,"{""name"":"""",""created_at"":"""",""state"":""STARTING"",""jobflow_id"":""""}"
sp_364_Normalized,"{""schema"":"""",""database"":"""",""password"":"""",""port"":1,""purpose"":""ENRICHED_EVENTS"",""host"":"""",""name"":"""",""sslMode"":""DISABLE"",""username"":""""}"
sp_284_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""hashAlgorithm"":""MD5"",""excludeParameters"":[]},""enabled"":true}"
sp_289_Normalized,"{""latitude"":-82.80739961542048,""longitude"":-128.40514060690055}"
sp_22_Normalized,{}
sp_63_Normalized,{}
sp_36_Normalized,{}
sp_68_Normalized,"{""image"":"""",""hostname"":"""",""zone"":"""",""name"":"""",""cpuPlatform"":"""",""attributes"":{},""id"":"""",""machineType"":"""",""tags"":[]}"
sp_173_Normalized,{}
sp_365_Normalized,"{""schema"":"""",""database"":"""",""password"":"""",""port"":1,""purpose"":""ENRICHED_EVENTS"",""host"":"""",""name"":"""",""username"":"""",""sslMode"":""DISABLE""}"
sp_225_Normalized,"{""name"":"""",""id"":""""}"
sp_287_Normalized,"{""basisForProcessing"":""consent""}"
sp_194_Normalized,{}
sp_192_Normalized,{}
sp_224_Normalized,"{""name"":"""",""id"":""""}"
sp_215_Normalized,"{""schemas"":[]}"
sp_416_Normalized,"{""genre"":""""}"
sp_275_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""apiKey"":"""",""rateAt"":""EOD_PRIOR"",""accountType"":""DEVELOPER"",""baseCurrency"":""""},""enabled"":true}"
sp_151_Normalized,"{""name"":""""}"
sp_285_Normalized,"{""hasLocalStorage"":false,""hasScriptAccess"":false,""isDebugger"":false,""playerType"":""ActiveX"",""version"":""""}"
sp_384_Normalized,{}
sp_354_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""cacheSize"":1,""apiKey"":"""",""apiHost"":"""",""geoPrecision"":1,""timeout"":1},""enabled"":false}"
sp_404_Normalized,{}
sp_180_Normalized,{}
sp_139_Normalized,{}
sp_396_Normalized,{}
sp_394_Normalized,{}
sp_383_Normalized,{}
sp_395_Normalized,{}
sp_226_Normalized,"{""severity"":""INFO"",""application"":"""",""message"":"""",""tags"":{}}"
sp_387_Normalized,{}
sp_360_Normalized,"{""awsRegion"":"""",""auth"":null,""purpose"":""EVENTS_MANIFEST"",""name"":"""",""id"":"""",""dynamodbTable"":""""}"
sp_54_Normalized,{}
sp_368_Normalized,"{""schema"":"""",""compRows"":1000,""password"":"""",""database"":"""",""purpose"":""ENRICHED_EVENTS"",""port"":1,""maxError"":0,""host"":"""",""name"":"""",""username"":"""",""sslMode"":""DISABLE""}"
sp_406_Normalized,{}
sp_184_Normalized,{}
sp_107_Normalized,"{""spiderOrRobot"":false,""reason"":""FAILED_IP_EXCLUDE"",""primaryImpact"":""PAGE_IMPRESSIONS"",""category"":""SPIDER_OR_ROBOT""}"
sp_323_Normalized,"{""useragentMinor"":"""",""osFamily"":"""",""useragentFamily"":"""",""deviceFamily"":"""",""useragentMajor"":""""}"
sp_19_Normalized,{}
sp_65_Normalized,{}
sp_388_Normalized,{}
sp_245_Normalized,"{""envelope"":{""schema"":""iglu:-/-/-/0-0-0"",""data"":123},""command"":{""schema"":""iglu:-/-/-/0-0-0"",""data"":123}}"
sp_182_Normalized,{}
sp_335_Normalized,"{""payload"":"""",""processor"":{""artifact"":"""",""version"":""0.0.0""},""errors"":[]}"
sp_419_Normalized,"{""videoWidth"":0,""videoHeight"":0}"
sp_397_Normalized,{}
sp_117_Normalized,{}
sp_73_Normalized,{}
sp_178_Normalized,{}
sp_142_Normalized,{}
sp_369_Normalized,"{""schema"":"""",""compRows"":1000,""password"":"""",""database"":"""",""purpose"":""ENRICHED_EVENTS"",""port"":1,""roleArn"":""\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"",""maxError"":0,""host"":"""",""name"":"""",""username"":"""",""sslMode"":""DISABLE""}"
sp_77_Normalized,{}
sp_76_Normalized,{}
sp_75_Normalized,{}
sp_389_Normalized,{}
sp_50_Normalized,{}
sp_8_Normalized,{}
sp_267_Normalized,"{""sessionIndex"":0,""storageMechanism"":""SQLITE"",""sessionId"":"""",""previousSessionId"":"""",""userId"":""0000000000000000""}"
sp_64_Normalized,{}
sp_390_Normalized,{}
sp_1_Normalized,"{""dateTime"":""""}"
sp_177_Normalized,{}
sp_27_Normalized,{}
sp_157_Normalized,{}
sp_111_Normalized,{}
sp_332_Normalized,"{""payload"":"""",""failure"":{""errors"":[""""],""timestamp"":""""},""processor"":{""artifact"":"""",""version"":""0.0.0""}}"
sp_296_Normalized,"{""currentTime"":0,""duration"":0,""volume"":0,""playbackRate"":-8.390111980062575E15,""paused"":true,""loop"":true,""ended"":true,""muted"":true}"
sp_112_Normalized,{}
sp_243_Normalized,{}
sp_263_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""fields"":{""mktContent"":[],""mktSource"":[],""mktTerm"":[],""mktMedium"":[],""mktCampaign"":[]}},""enabled"":true}"
sp_118_Normalized,{}
sp_257_Normalized,"{""programmingLanguage"":""JAVA"",""message"":""""}"
sp_106_Normalized,{}
sp_105_Normalized,{}
sp_100_Normalized,{}
sp_103_Normalized,{}
sp_102_Normalized,{}
sp_99_Normalized,{}
sp_116_Normalized,{}
sp_113_Normalized,{}
sp_2_Normalized,"{""dateTime"":""""}"
sp_265_Normalized,"{""formId"":"""",""nodeName"":""INPUT"",""elementId"":"""",""value"":""""}"
sp_286_Normalized,"{""nodeName"":""INPUT"",""elementId"":"""",""formId"":"""",""value"":""""}"
sp_9_Normalized,{}
sp_258_Normalized,"{""programmingLanguage"":""JAVA"",""message"":""""}"
sp_264_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""fields"":{""mktContent"":[],""mktSource"":[],""mktTerm"":[],""mktMedium"":[],""mktCampaign"":[]}},""enabled"":true}"
sp_143_Normalized,"{""action"":""""}"
sp_104_Normalized,{}
sp_98_Normalized,{}
sp_101_Normalized,{}
sp_344_Normalized,"{""payload"":"""",""failure"":{""maximumAllowedSizeBytes"":0,""actualSizeBytes"":0,""timestamp"":""""},""processor"":{""artifact"":"""",""version"":""0.0.0""}}"
sp_244_Normalized,{}
sp_127_Normalized,{}
sp_135_Normalized,{}
sp_402_Normalized,"{""lastName"":"""",""role"":"""",""notes"":"""",""signature"":"""",""externalId"":"""",""timeZone"":"""",""language"":"""",""extendedRole"":"""",""type"":"""",""locale"":"""",""userId"":0,""tags"":"""",""firstName"":"""",""phone"":"""",""organization"":"""",""details"":"""",""email"":"""",""ticketId"":0,""updatedAt"":""""}"
sp_259_Normalized,"{""programmingLanguage"":""JAVA"",""message"":""""}"
sp_3_Normalized,"{""dateTime"":""""}"
sp_114_Normalized,{}
sp_128_Normalized,{}
sp_136_Normalized,{}
sp_93_Normalized,{}
sp_4_Normalized,"{""dateTime"":""""}"
sp_202_Normalized,"{""playbooks"":[{""dependsOn"":[],""playbook"":""\u0000""}],""storage"":""Default"",""lockType"":""hard"",""enabled"":true}"
sp_391_Normalized,{}
sp_350_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""includeUseragentFile"":{""database"":""include_current.txt"",""uri"":""""},""excludeUseragentFile"":{""database"":""exclude_current.txt"",""uri"":""""},""ipFile"":{""database"":""ip_exclude_current_cidr.txt"",""uri"":""""}},""enabled"":false}"
sp_412_Normalized,"{""brands"":[],""isMobile"":false}"
sp_197_Normalized,{}
sp_199_Normalized,{}
