objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o32929,606,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o11855,606,1838,3,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o28269,606,1799,5,0,0,0,1,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o17546,607,2131,5,0,0,0,1,0,0,0,0,0,0,1,0,1,true,false,true,2,,,,,
o83696,607,3147,5,0,0,0,1,0,0,0,1,0,1,0,1,0,true,false,true,2,,,,,
o26974,608,943,1,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o27357,608,2157,3,0,1,0,0,0,0,0,0,1,0,1,0,0,true,false,true,2,,,,,
o53018,609,2213,3,0,0,0,0,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o21053,609,2971,1199891,0,0,2,274,0,1172581,0,27029,0,1,0,1,1,true,false,true,2,,,,,
o44191,610,2980,5,0,0,0,1,0,0,1,0,1,0,0,0,0,true,false,true,2,,,,,
o60869,611,1305,4,0,0,1,0,0,1,0,0,0,1,0,1,0,true,false,true,2,,,,,
o70267,611,1196,4,0,0,0,0,0,0,0,0,0,3,0,0,0,true,false,true,2,,,,,
o85906,611,821,1,0,0,0,0,0,0,0,0,0,0,1,0,0,true,false,true,2,,,,,
o44311,611,696,2,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o43999,611,3115,7,0,0,0,1,0,1,0,1,0,1,0,1,1,true,false,true,2,,,,,
o89824,612,857,2,0,0,0,1,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o12087,612,3280,5,0,0,0,1,0,0,1,0,0,0,0,0,0,true,false,true,2,,,,,
o90885,612,1720,3,0,0,0,1,0,0,0,1,0,0,0,0,0,true,false,true,2,,,,,
o61080,613,3873,7,0,0,0,1,0,1,0,1,0,1,0,1,1,true,false,true,2,,,,,
o89823,613,1438,3,0,0,0,1,0,0,0,1,0,0,0,0,1,true,false,true,2,,,,,
o42986,614,1829,3,0,0,0,1,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o39441,615,2764,6,0,0,1,1,0,0,0,0,0,0,1,0,0,true,false,true,2,,,,,
o6025,615,3446,6,0,0,0,0,0,1,0,1,0,1,1,1,1,true,false,true,2,,,,,
o21487,615,1845,5,0,0,0,0,0,1,1,0,0,2,0,0,1,true,false,true,2,,,,,
o14509,616,1332,4,0,0,0,0,0,1,0,0,0,1,0,0,0,true,false,true,2,,,,,
o40230,617,3374,8,0,0,1,2,0,1,0,1,0,1,0,0,1,true,false,true,2,,,,,
o87825,617,755,2,0,0,0,0,0,0,1,0,0,0,0,1,0,true,false,true,2,,,,,
o69758,617,1451,3,0,0,0,0,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o39143,618,2533,6,0,0,0,0,0,0,0,1,0,2,0,1,1,true,false,true,2,,,,,
o69751,618,774,3,0,0,1,0,0,0,0,0,0,2,0,0,0,true,false,true,2,,,,,
