"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"o64882",1603,1404,3,0,1,0,0,0,0,0,0,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o27351",1604,8417,13,0,0,0,0,0,0,2,3,0,4,1,1,0,"True","False","true",2,"","",NA,"",""
"o12487",1604,2488,16,0,0,1,5,0,2,1,0,0,4,0,0,1,"True","False","true",2,"","",NA,"",""
"o53085",1605,8360,13,1,0,0,2,0,0,1,2,1,2,1,1,0,"True","False","true",2,"","",NA,"",""
"o57649",1605,4038,11,0,0,0,0,0,0,2,0,0,5,0,1,1,"True","False","true",2,"","",NA,"",""
"o69469",1606,1485,4,0,0,0,0,0,1,0,1,0,0,1,1,0,"True","False","true",2,"","",NA,"",""
"o90353",1606,2162,9,0,0,0,4,0,2,0,0,1,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o56024",1607,8764,32,0,0,0,13,0,4,1,0,0,8,1,1,2,"True","False","true",2,"","",NA,"",""
"o28201",1607,5508,15,0,0,0,1,0,3,0,2,0,5,0,0,1,"True","False","true",2,"","",NA,"",""
"o79005",1609,4372,6,0,0,1,0,0,0,1,1,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o24987",1609,2501,11,0,0,0,3,0,2,1,0,0,3,0,1,1,"True","False","true",2,"","",NA,"",""
"o19069",1610,8108,13,0,0,0,0,0,0,2,2,1,4,1,1,1,"True","False","true",2,"","",NA,"",""
"o14466",1612,6407,8,0,0,0,1,0,1,1,1,0,2,0,0,0,"True","False","true",2,"","",NA,"",""
"o58463",1612,1399,6,0,0,0,0,0,1,0,0,0,2,0,0,1,"True","False","true",2,"","",NA,"",""
"o72184",1612,6481,11,0,0,0,1,0,1,1,1,1,4,1,1,0,"True","False","true",2,"","",NA,"",""
"o26966",1614,2737,5,0,0,0,0,0,1,1,1,0,0,0,1,0,"True","False","true",2,"","",NA,"",""
"o64020",1616,4961,12,0,0,0,1,0,0,1,0,1,7,0,1,1,"True","False","true",2,"","",NA,"",""
"o90831",1617,3545,9,1,0,0,0,0,2,1,1,0,3,0,0,0,"True","False","true",2,"","",NA,"",""
"o5845",1619,4084,11,0,1,0,0,0,1,1,0,0,3,0,1,2,"True","False","true",2,"","",NA,"",""
"o32493",1622,4048,8,1,0,0,0,0,0,0,1,0,3,1,0,1,"True","False","true",2,"","",NA,"",""
"o45769",1623,7175,11,0,0,0,1,0,0,1,1,0,4,1,0,1,"True","False","true",2,"","",NA,"",""
"o44052",1623,5131,11,1,0,0,3,0,0,1,2,1,2,0,0,1,"True","False","true",2,"","",NA,"",""
"o69729",1624,6071,19,0,0,0,1,0,1,2,1,0,7,1,1,2,"True","False","true",2,"","",NA,"",""
"o9371",1624,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o13666",1624,13447,36,1,0,0,4,0,2,5,15,0,1,1,1,0,"True","False","true",2,"","",NA,"",""
"o60835",1624,3928,5,0,0,0,1,0,0,1,1,0,0,0,0,1,"True","False","true",2,"","",NA,"",""
"o91129",1624,6064,34,0,0,0,1,0,0,21,1,1,7,1,1,0,"True","False","true",2,"","",NA,"",""
"o30029",1625,2633,15,0,0,0,1,0,5,1,1,0,4,0,1,0,"True","False","true",2,"","",NA,"",""
"o45264",1627,5578,12,0,0,1,1,0,1,1,1,1,2,0,1,1,"True","False","true",2,"","",NA,"",""
"o9509",1627,4098,10,0,1,0,3,0,1,1,1,0,1,1,1,0,"True","False","true",2,"","",NA,"",""
"o43085",1628,5356,13,0,1,0,0,0,1,1,1,0,5,0,1,1,"True","False","true",2,"","",NA,"",""
"o22092",1629,5036,35,0,0,0,16,0,0,2,1,0,10,1,1,1,"True","False","true",2,"","",NA,"",""
"o54547",1630,7647,29,0,0,0,2,0,3,2,7,0,9,1,1,0,"True","False","true",2,"","",NA,"",""
"o30466",1631,14208,35,0,0,0,4,0,1,5,10,0,6,3,2,0,"True","False","true",2,"","",NA,"",""
"o13150",1634,3570,7,0,0,0,1,0,0,1,0,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o12971",1634,5294,14,0,1,0,4,0,1,2,1,0,1,0,1,0,"True","False","true",2,"","",NA,"",""
"o6181",1635,9265,24,1,0,0,3,0,5,1,3,1,4,1,0,1,"True","False","true",2,"","",NA,"",""
"o44949",1636,8443,15,0,0,0,2,0,1,2,2,2,3,1,0,2,"True","False","true",2,"","",NA,"",""
"o85667",1640,3124,5,0,0,0,1,0,0,1,0,0,1,0,1,0,"True","False","true",2,"","",NA,"",""
"o83272",1643,4333,15,0,0,0,1,0,6,1,3,0,2,1,1,0,"True","False","true",2,"","",NA,"",""
"o53607",1646,7427,19,0,0,0,3,0,1,1,7,0,2,1,0,1,"True","False","true",2,"","",NA,"",""
"o6243",1646,5736,14,0,0,0,3,0,1,1,0,0,4,1,0,1,"True","False","true",2,"","",NA,"",""
"o67675",1647,4009,6,1,0,0,0,0,1,0,1,1,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o64781",1647,5033,8,0,0,1,1,0,0,1,1,0,1,1,1,0,"True","False","true",2,"","",NA,"",""
"o65382",1648,7920,10,0,0,0,0,0,0,1,2,1,2,0,1,1,"True","False","true",2,"","",NA,"",""
"o79429",1648,7769,11,0,0,0,1,0,1,1,1,1,1,0,0,2,"True","False","true",2,"","",NA,"",""
"o7276",1649,4689,8,0,0,0,2,0,0,1,1,1,1,1,0,0,"True","False","true",2,"","",NA,"",""
"o83705",1651,25307,96,0,0,0,8,0,11,11,33,1,2,21,3,0,"True","False","true",2,"","",NA,"",""
"o90301",1653,7991,24,0,0,0,6,0,1,1,11,1,1,1,1,0,"True","False","true",2,"","",NA,"",""
"o42515",1653,5090,13389,0,0,1,3,0,12665,1,715,0,2,0,0,1,"True","False","true",2,"","",NA,"",""
"o9408",1654,64,8,7,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o90828",1654,3545,15,0,1,0,0,0,3,2,1,0,4,0,1,0,"True","False","true",2,"","",NA,"",""
"o82642",1654,2175,11,0,1,0,5,0,0,1,1,0,2,0,1,0,"True","False","true",2,"","",NA,"",""
"o69910",1656,4194,17,0,0,0,4,0,1,1,1,0,6,2,1,0,"True","False","true",2,"","",NA,"",""
"o48419",1656,3695,9,0,0,0,2,0,1,1,0,0,2,0,0,1,"True","False","true",2,"","",NA,"",""
"o83722",1658,9491,11,0,0,0,2,0,0,1,2,0,2,0,0,0,"True","False","true",2,"","",NA,"",""
"o39256",1661,6678,9,0,0,0,0,0,0,1,1,0,2,0,1,0,"True","False","true",2,"","",NA,"",""
"o51222",1662,166,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o4254",1663,9420,15,0,0,0,1,0,1,1,2,0,5,0,1,1,"True","False","true",2,"","",NA,"",""
"o82281",1663,7711,12,0,0,0,1,0,1,1,1,1,3,0,1,1,"True","False","true",2,"","",NA,"",""
"o83078",1665,9279,14,1,0,0,3,0,0,1,3,0,3,0,1,0,"True","False","true",2,"","",NA,"",""
"o76463",1665,10132,15,1,0,0,3,0,1,1,2,0,3,1,0,1,"True","False","true",2,"","",NA,"",""
"o30180",1665,4363,12,0,0,0,1,0,4,1,0,0,3,0,1,0,"True","False","true",2,"","",NA,"",""
"o85252",1668,4659,5,1,0,0,0,0,0,1,1,0,1,1,0,0,"True","False","true",2,"","",NA,"",""
"o73937",1669,5724,10,1,0,0,2,0,1,1,1,0,1,0,0,1,"True","False","true",2,"","",NA,"",""
"o18353",1672,6657,13,0,0,0,1,0,1,1,1,0,5,0,0,1,"True","False","true",2,"","",NA,"",""
"o5245",1674,2371,4,0,0,0,1,0,0,0,1,0,1,1,0,0,"True","False","true",2,"","",NA,"",""
"o5195",1675,2857,7,0,0,0,3,0,0,1,0,0,1,0,0,1,"True","False","true",2,"","",NA,"",""
"o68415",1676,3648,10,0,1,0,0,0,2,0,1,1,4,0,1,0,"True","False","true",3,"","",NA,"",""
"o1",1680,8336,14,0,0,0,2,0,1,1,2,0,3,0,1,1,"True","False","true",2,"","",NA,"",""
"o9357",1680,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o44275",1682,3560,5,1,0,0,0,0,0,1,1,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o27017",1683,4549,10,0,0,1,2,0,1,1,1,0,1,0,0,1,"True","False","true",2,"","",NA,"",""
"o66280",1683,64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"True","False","true",2,"","",NA,"",""
"o21466",1684,5068,12,0,0,0,3,0,0,1,1,1,2,1,1,1,"True","False","true",2,"","",NA,"",""
"o65751",1684,5200,7,0,0,0,1,0,0,1,1,0,1,1,1,0,"True","False","true",2,"","",NA,"",""
"o26969",1684,3306,3,0,0,0,0,0,1,0,1,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o90352",1687,6025,12,0,0,0,3,0,0,2,1,0,2,0,1,1,"True","False","true",2,"","",NA,"",""
"o5255",1688,4128,6,0,1,0,0,0,0,1,0,0,1,0,0,1,"True","False","true",2,"","",NA,"",""
"o54618",1691,10979,14,0,0,0,1,0,0,2,2,1,4,1,0,1,"True","False","true",2,"","",NA,"",""
"o21471",1691,9461,18,0,0,0,4,0,0,3,5,0,2,1,0,1,"True","False","true",2,"","",NA,"",""
"o83092",1691,3706,6,0,0,0,0,0,0,0,1,0,2,1,0,0,"True","False","true",2,"","",NA,"",""
"o66297",1691,2174,5,0,0,0,1,0,0,1,0,0,2,0,0,1,"True","False","true",2,"","",NA,"",""
"o375",1691,6896,9,0,0,1,0,0,0,1,2,0,1,1,1,0,"True","False","true",2,"","",NA,"",""
"o65706",1694,3875,9,0,0,0,2,0,1,1,1,0,2,0,1,0,"True","False","true",2,"","",NA,"",""
"o1529",1698,3809,9,0,0,0,2,0,0,1,0,0,1,1,0,2,"True","False","true",2,"","",NA,"",""
"o66587",1700,1261,3,0,0,0,0,0,0,1,0,0,1,1,0,0,"True","False","true",2,"","",NA,"",""
"o74549",1702,5853,8,0,0,0,0,0,1,1,1,0,2,0,0,1,"True","False","true",2,"","",NA,"",""
"o42283",1703,4723,8,0,0,0,3,0,0,0,1,0,2,0,0,0,"True","False","true",2,"","",NA,"",""
"o33783",1704,5341,7,1,0,0,0,0,0,1,1,0,1,1,1,0,"True","False","true",2,"","",NA,"",""
"o25741",1704,652,2,0,0,0,0,0,0,0,0,0,0,1,0,0,"True","False","true",2,"","",NA,"",""
"o89230",1706,4480,11,0,0,1,2,0,0,1,2,0,1,0,0,1,"True","False","true",2,"","",NA,"",""
"o17131",1708,3720,5,0,0,0,1,0,0,1,1,0,1,0,1,0,"True","False","true",2,"","",NA,"",""
"o60118",1709,9250,18,1,0,0,0,0,2,1,1,0,6,1,1,2,"True","False","true",2,"","",NA,"",""
"o90264",1710,4459,9,1,0,0,1,0,0,1,1,1,1,0,1,1,"True","False","true",2,"","",NA,"",""
"o90316",1710,1656,6,0,0,0,2,0,1,1,0,0,1,1,0,0,"True","False","true",2,"","",NA,"",""
"o39435",1711,4756,8,0,0,0,2,0,0,2,1,0,1,0,1,0,"True","False","true",2,"","",NA,"",""
"o90209",1712,6456,11,0,0,0,2,0,0,1,2,0,1,0,1,0,"True","False","true",2,"","",NA,"",""
"o74593",1712,7616,10,0,0,0,2,0,0,1,1,0,2,1,1,0,"True","False","true",2,"","",NA,"",""
"o36798",1712,7974,12,0,0,0,1,0,0,1,1,1,3,1,1,1,"True","False","true",2,"","",NA,"",""
"o63945",1712,6803,12,0,0,0,3,0,1,1,1,0,3,1,0,0,"True","False","true",2,"","",NA,"",""
"o45225",1715,7823,9,0,0,0,0,0,1,1,1,0,2,0,0,1,"True","False","true",2,"","",NA,"",""
"o76475",1716,9006,18,0,0,0,5,0,2,1,1,0,3,1,0,2,"True","False","true",2,"","",NA,"",""
"o75613",1716,7287,10,0,1,0,0,0,1,1,1,0,2,1,1,1,"True","False","true",2,"","",NA,"",""
"o43993",1718,15250,41,0,0,0,8,0,5,2,13,0,3,1,2,1,"True","False","true",2,"","",NA,"",""
"o32511",1719,5654,8,0,0,0,1,0,0,1,1,0,2,0,0,2,"True","False","true",2,"","",NA,"",""
"o49496",1721,3035,4,0,0,0,1,0,0,1,0,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o9198",1721,4215,16,0,0,0,7,0,2,1,1,0,3,0,0,1,"True","False","true",2,"","",NA,"",""
"o60848",1723,5260,11,0,0,0,1,0,6,1,1,1,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o4837",1725,5931,8,0,0,1,0,0,1,1,1,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o41699",1726,8993,13,0,0,0,0,0,0,3,1,0,3,1,1,1,"True","False","true",2,"","",NA,"",""
"o31936",1727,6903,26,0,0,0,1,0,7,2,3,0,7,0,1,0,"True","False","true",2,"","",NA,"",""
"o69745",1729,13844,36,1,0,0,5,0,1,4,15,0,3,2,1,1,"True","False","true",2,"","",NA,"",""
"o46257",1730,3418,9,0,0,0,3,0,0,1,0,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o69757",1730,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o60375",1730,6483,9,0,0,0,0,0,0,1,1,0,2,1,1,1,"True","False","true",2,"","",NA,"",""
"o64613",1731,3118,10,0,0,0,1,0,1,0,1,0,6,0,0,0,"True","False","true",2,"","",NA,"",""
"o61622",1733,2698,8,0,0,0,1,0,1,1,0,0,4,0,0,0,"True","False","true",2,"","",NA,"",""
"o68726",1734,4814,6,1,0,0,1,0,0,1,1,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o74563",1734,5071,6,1,0,0,0,0,0,1,1,0,1,0,0,0,"True","False","true",2,"","",NA,"",""
"o46408",1735,4580,8,0,1,0,2,0,0,1,1,0,1,1,0,1,"True","False","true",2,"","",NA,"",""
"o83702",1738,8006,12,0,0,0,3,0,1,1,0,0,2,1,1,0,"True","False","true",2,"","",NA,"",""
"o65949",1739,9753,16,0,0,0,0,0,2,1,2,1,3,0,1,0,"True","False","true",2,"","",NA,"",""
"o38619",1739,8720,19,0,1,0,1,0,2,1,5,0,4,0,1,1,"True","False","true",2,"","",NA,"",""
"o45595",1742,288,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","true",2,"","",NA,"",""
"o79519",1743,1723,5,0,0,0,2,0,0,0,1,0,1,1,0,0,"True","False","true",2,"","",NA,"",""
"o38540",1743,5682,7,0,0,0,0,0,1,1,1,0,2,0,1,0,"True","False","true",2,"","",NA,"",""
"o25980",1745,6785,8,1,0,0,0,0,0,0,1,1,1,1,1,1,"True","False","true",2,"","",NA,"",""
"o19155",1748,7539,13,1,0,0,3,0,0,2,1,0,2,0,1,0,"True","False","true",2,"","",NA,"",""
"o69915",1750,5340,14,0,0,0,4,0,2,1,0,0,4,1,0,0,"True","False","true",2,"","",NA,"",""
"o46394",1751,4480,8,1,0,0,1,0,1,1,1,0,1,1,1,0,"True","False","true",2,"","",NA,"",""
"o79425",1752,6958,10,1,0,0,2,0,1,1,1,0,2,1,1,0,"True","False","true",2,"","",NA,"",""
"o21114",1752,12485,36,0,0,0,10,0,2,2,12,1,3,1,0,0,"True","False","true",2,"","",NA,"",""
