objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o9769,3514,20043,3713,0,0,0,30,0,3320,20,328,1,7,1,2,0,true,false,true,2,,,,,
o47239,3533,13572,11,0,0,0,1,0,0,2,1,0,1,1,0,1,true,false,true,2,,,,,
o16791,3545,2766,14,0,0,0,1,0,5,1,0,1,6,0,0,0,true,false,true,2,,,,,
o62651,3552,10751,20,0,0,1,4,0,1,2,1,0,4,1,1,1,true,false,true,2,,,,,
o9875,3561,18878,3540,0,0,1,24,0,3194,2,299,0,9,1,2,1,true,false,true,2,,,,,
o53110,3605,9737,17,0,0,0,4,0,1,1,1,0,5,0,1,0,true,false,true,2,,,,,
o90119,3637,1821,5,0,0,0,1,0,0,1,0,0,2,0,1,0,true,false,true,2,,,,,
o4842,3658,12379,21,0,0,0,2,0,0,1,3,0,6,1,2,1,true,false,true,2,,,,,
o25768,3680,14799,16,0,0,0,1,0,0,2,1,2,4,1,1,1,true,false,true,2,,,,,
o77299,3688,23181,56,0,0,0,14,0,3,2,5,0,20,3,1,1,true,false,true,2,,,,,
o48406,3698,5413,6,0,0,0,1,0,1,1,1,0,1,0,0,0,true,false,true,2,,,,,
o78062,3701,11457,34,0,0,0,7,0,6,1,7,0,6,0,1,1,true,false,true,2,,,,,
o1707,3704,2354,2,0,0,0,0,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o9827,3713,8866,30,0,0,0,5,0,11,2,5,0,3,1,1,0,true,false,true,2,,,,,
o65916,3746,25795,48,0,0,0,3,0,2,3,8,2,14,2,2,2,true,false,true,2,,,,,
o11667,3799,36709,143,0,0,0,2,0,1,1,3,2,101,20,3,1,true,false,true,3,,,,,
o71267,3799,7094,8,0,0,1,0,0,0,0,0,1,1,0,1,0,true,false,true,2,,,,,
o25771,3803,15853,19,0,0,1,1,0,1,1,1,1,5,1,1,1,true,false,true,2,,,,,
o3923,3862,6394,16,0,0,0,1,0,0,1,0,0,6,1,0,1,true,false,true,2,,,,,
o68694,3864,7094,11,0,0,2,3,0,0,1,1,0,1,0,1,0,true,false,true,2,,,,,
o9840,3910,10103,50,0,0,0,25,0,5,1,5,0,8,1,1,0,true,false,true,2,,,,,
o12175,3911,36812,136,1,0,0,2,0,1,2,2,2,98,18,3,1,true,false,true,3,,,,,
o63158,3945,13857,23,0,0,0,1,0,2,2,2,0,10,1,1,1,true,false,true,2,,,,,
o68294,3952,21850,87,0,0,0,1,0,1,1,1,0,62,10,1,2,true,false,true,2,,,,,
o227,3955,13194,41,0,0,0,1,0,1,2,2,1,27,1,1,1,true,false,true,2,,,,,
o61532,3961,11451,40,0,0,0,10,0,3,1,1,1,18,2,1,0,true,false,true,3,,,,,
o54553,3977,15874,19,0,0,0,1,0,0,3,3,1,5,1,1,0,true,false,true,2,,,,,
o59186,4000,7984,13,0,0,0,1,0,1,1,0,1,5,1,1,1,true,false,true,2,,,,,
o37086,4005,16239,29,0,0,0,7,0,2,3,4,0,4,1,2,1,true,false,true,2,,,,,
o79016,4040,11674,44,0,0,0,3,0,4,2,4,0,24,2,1,1,true,false,true,3,,,,,
o34851,4045,8009,22,0,1,0,7,0,2,1,1,0,4,1,1,2,true,false,true,2,,,,,
o60974,4087,11721,21,0,0,0,6,0,1,1,1,0,5,1,1,1,true,false,true,2,,,,,
o4838,4093,12568,17,0,0,0,2,0,1,2,1,0,6,0,1,0,true,false,true,2,,,,,
o71826,4095,14614,19,0,0,1,2,0,1,1,2,1,4,0,1,1,true,false,true,2,,,,,
o1332,4128,6431,17,1,0,0,1,0,1,1,2,0,5,1,1,1,true,false,true,2,,,,,
o4841,4140,18625,28,0,0,1,2,0,2,2,4,1,6,1,2,2,true,false,true,2,,,,,
o31352,4154,5543,10,0,0,0,1,0,1,1,1,0,4,0,0,0,true,false,true,2,,,,,
o5265,4200,4159,17,0,0,0,1,0,0,1,1,0,11,0,0,2,true,false,true,2,,,,,
o19154,4238,13155,25,0,0,0,3,0,3,2,3,0,6,0,1,1,true,false,true,2,,,,,
o23177,4252,10563,28,0,0,1,9,0,1,2,1,1,6,1,1,1,true,false,true,2,,,,,
o36591,4257,11490,24,0,0,1,1,0,1,2,2,1,8,1,2,4,true,false,true,2,,,,,
o70914,4267,10834,25,0,1,0,2,0,0,1,2,0,10,0,1,2,true,false,true,2,,,,,
o32662,4277,7167,18,0,0,1,1,0,3,1,2,0,7,0,1,1,true,false,true,2,,,,,
o80668,4295,5681,26,0,0,1,11,0,3,1,0,0,4,0,1,0,true,false,true,2,,,,,
o39217,4311,346465,34122,0,8,0,2,0,2,1,3,3,33637,364,47,1,true,false,true,3,,,,,
o53109,4329,10822,20,1,0,0,4,0,1,2,1,0,7,1,0,1,true,false,true,2,,,,,
o63608,4358,11453,14,0,0,0,1,0,1,2,2,0,2,0,1,1,true,false,true,2,,,,,
o54993,4369,9646,26,0,0,0,10,0,4,1,2,1,4,1,0,1,true,false,true,2,,,,,
o8383,4420,5143,11,0,0,0,3,0,1,1,0,0,2,0,1,1,true,false,true,2,,,,,
o15178,4442,16931,21,0,0,0,3,0,2,3,3,0,3,1,1,0,true,false,true,2,,,,,
o90905,4483,19603,26,0,1,1,4,0,1,4,3,0,4,1,1,0,true,false,true,2,,,,,
o17540,4499,19905,21,0,0,0,4,0,1,3,6,0,0,1,0,0,true,false,true,2,,,,,
o83151,4532,6803,14,0,0,1,1,0,0,1,1,1,5,0,1,1,true,false,true,2,,,,,
o53111,4580,11345,19,0,1,0,4,0,1,2,1,0,6,0,1,0,true,false,true,2,,,,,
o73925,4613,11676,19,0,0,0,2,0,1,1,4,0,7,1,1,0,true,false,true,2,,,,,
o6249,4613,7195,33,0,0,0,8,0,1,1,0,0,18,1,1,1,true,false,true,2,,,,,
o58623,4626,4046,10,0,0,0,1,0,2,1,0,0,4,0,0,0,true,false,true,2,,,,,
o32807,4640,11419,27,0,0,1,8,0,2,1,1,0,7,1,1,0,true,false,true,2,,,,,
o78964,4681,15782,28,0,0,0,7,0,2,2,2,1,7,0,1,2,true,false,true,2,,,,,
o5837,4712,19403,26,0,0,0,5,0,1,2,2,1,6,1,1,1,true,false,true,2,,,,,
o683,4734,9156,14,0,0,0,0,0,1,2,1,0,5,0,1,1,true,false,true,2,,,,,
o36468,4784,574,2,0,0,1,0,0,0,0,0,0,0,0,1,0,true,false,true,2,,,,,
o9786,4795,22994,3454,0,1,0,20,0,3165,3,249,1,7,1,2,0,true,false,true,2,,,,,
o82278,4832,18169,25,0,0,0,1,0,1,2,5,0,5,2,1,2,true,false,true,2,,,,,
o9873,4875,26823,3348,1,0,0,20,0,3037,2,263,0,13,1,2,0,true,false,true,2,,,,,
o66183,4918,64,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o65336,4931,14037,29,0,0,0,2,0,10,2,6,0,2,0,1,1,true,false,true,2,,,,,
o45306,4941,19690,25,1,0,0,1,0,2,3,2,1,6,1,1,2,true,false,true,2,,,,,
o50479,4942,7207,11,0,0,0,1,0,2,1,1,0,3,0,1,0,true,false,true,2,,,,,
