objectId,inSize,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,arrPrep,merge3,genEnv,witness
kb_424_Normalized,526,136,545,545,520,881,988,988,988,988,1450,22
kb_131_Normalized,527,112,354,354,329,548,649,649,649,649,920,2
kb_132_Normalized,527,112,354,354,329,548,649,649,649,649,920,2
kb_82_Normalized,531,124,382,382,382,494,786,786,786,786,922,2
kb_81_Normalized,531,124,382,382,382,494,786,786,786,786,922,2
kb_634_Normalized,551,107,344,344,319,538,634,634,634,634,910,2
kb_636_Normalized,551,107,344,344,319,538,634,634,634,634,910,2
kb_635_Normalized,551,107,344,344,319,538,634,634,634,634,910,2
kb_608_Normalized,559,140,553,553,528,889,1002,1002,1002,1002,1466,24
kb_609_Normalized,559,140,553,553,528,889,1002,1002,1002,1002,1466,24
kb_41_Normalized,584,146,565,565,540,901,1023,1023,1023,1023,1490,27
kb_42_Normalized,584,146,565,565,540,901,1023,1023,1023,1023,1490,27
kb_580_Normalized,591,123,363,363,363,492,1112,1112,1112,1112,1471,2
kb_579_Normalized,591,123,363,363,363,492,1112,1112,1112,1112,1471,2
kb_433_Normalized,613,198,771,771,710,1142,1280,1280,1280,1280,1454,17
kb_943_Normalized,613,112,354,354,329,548,649,649,649,649,920,2
kb_432_Normalized,613,198,771,771,710,1142,1280,1280,1280,1280,1454,17
kb_944_Normalized,613,112,354,354,329,548,649,649,649,649,920,2
kb_642_Normalized,618,141,493,493,468,737,816,816,816,816,1228,16
kb_643_Normalized,618,141,493,493,468,737,816,816,816,816,1228,16
kb_1156_Normalized,641,175,582,582,521,811,947,947,947,947,938,2
kb_1155_Normalized,641,175,582,582,521,811,947,947,947,947,938,2
kb_1125_Normalized,648,146,565,565,540,901,1023,1023,1023,1023,1490,27
kb_1126_Normalized,648,146,565,565,540,901,1023,1023,1023,1023,1490,27
kb_431_Normalized,668,198,771,771,710,1142,1280,1280,1280,1280,1454,17
kb_410_Normalized,684,147,458,458,458,739,1317,1317,1317,1317,1641,2
kb_411_Normalized,684,147,458,458,458,739,1317,1317,1317,1317,1641,2
kb_1136_Normalized,687,115,364,364,364,476,759,759,759,759,904,2
kb_975_Normalized,687,144,561,561,536,897,1016,1016,1016,1016,1482,26
kb_1137_Normalized,687,115,364,364,364,476,759,759,759,759,904,2
kb_974_Normalized,687,144,561,561,536,897,1016,1016,1016,1016,1482,26
kb_682_Normalized,688,127,465,465,440,709,770,770,770,770,1182,11
kb_681_Normalized,688,127,465,465,440,709,770,770,770,770,1182,11
kb_1135_Normalized,697,115,364,364,364,476,759,759,759,759,904,2
kb_416_Normalized,703,198,771,771,710,1142,1280,1280,1280,1280,1454,17
kb_415_Normalized,703,198,771,771,710,1142,1280,1280,1280,1280,1454,17
kb_935_Normalized,708,112,352,352,352,590,798,798,798,798,1229,2
kb_936_Normalized,708,112,352,352,352,590,798,798,798,798,1229,2
kb_537_Normalized,711,109,348,348,323,542,640,640,640,640,914,2
kb_538_Normalized,711,109,348,348,323,542,640,640,640,640,914,2
kb_108_Normalized,720,112,352,352,352,590,798,798,798,798,1229,2
kb_107_Normalized,720,112,352,352,352,590,798,798,798,798,1229,2
kb_61_Normalized,736,180,558,558,496,782,1281,1281,1281,1281,1493,2
kb_62_Normalized,736,180,558,558,496,782,1281,1281,1281,1281,1493,2
kb_358_Normalized,747,121,372,372,347,566,676,676,676,676,938,2
kb_359_Normalized,747,121,372,372,347,566,676,676,676,676,938,2
kb_351_Normalized,757,36,123,123,123,166,166,166,166,166,428,2
kb_350_Normalized,757,36,123,123,123,166,166,166,166,166,428,2
kb_121_Normalized,764,203,702,702,702,1059,1868,1868,1868,1868,2098,12
kb_122_Normalized,764,203,702,702,702,1059,1868,1868,1868,1868,2098,12
kb_414_Normalized,764,198,771,771,710,1142,1280,1280,1280,1280,1454,17
kb_109_Normalized,767,155,550,550,530,871,1011,1011,1011,1011,1515,10
kb_110_Normalized,767,155,550,550,530,871,1011,1011,1011,1011,1515,10
kb_385_Normalized,770,156,585,585,560,921,1058,1058,1058,1058,1530,32
kb_386_Normalized,770,156,585,585,560,921,1058,1058,1058,1058,1530,32
kb_352_Normalized,775,36,123,123,123,166,166,166,166,166,428,2
kb_353_Normalized,775,36,123,123,123,166,166,166,166,166,428,2
kb_745_Normalized,777,166,577,577,577,908,1419,1419,1419,1419,1877,12
kb_744_Normalized,777,166,577,577,577,908,1419,1419,1419,1419,1877,12
kb_127_Normalized,793,289,679,679,679,754,800,800,800,800,1381,2
kb_128_Normalized,793,289,679,679,679,754,800,800,800,800,1381,2
kb_868_Normalized,796,178,700,700,647,1079,1254,1254,1254,1254,1830,35
kb_869_Normalized,796,178,700,700,647,1079,1254,1254,1254,1254,1830,35
kb_867_Normalized,796,178,700,700,647,1079,1254,1254,1254,1254,1830,35
kb_866_Normalized,796,178,700,700,647,1079,1254,1254,1254,1254,1830,35
kb_338_Normalized,805,120,357,357,357,486,1103,1103,1103,1103,1465,2
kb_337_Normalized,805,120,357,357,357,486,1103,1103,1103,1103,1465,2
kb_412_Normalized,808,125,461,461,436,705,762,762,762,762,1174,11
kb_413_Normalized,808,125,461,461,436,705,762,762,762,762,1174,11
kb_966_Normalized,819,164,601,601,576,937,1086,1086,1086,1086,1562,36
kb_967_Normalized,819,164,601,601,576,937,1086,1086,1086,1086,1562,36
kb_938_Normalized,825,155,550,550,550,910,1011,1011,1011,1011,1515,10
kb_937_Normalized,825,155,550,550,530,871,1011,1011,1011,1011,1515,10
kb_547_Normalized,827,127,465,465,440,709,770,770,770,770,1182,11
kb_546_Normalized,827,127,465,465,440,709,770,770,770,770,1182,11
kb_1082_Normalized,831,173,653,653,653,1076,1604,1604,1604,1604,2107,22
kb_1081_Normalized,831,173,653,653,653,1076,1604,1604,1604,1604,2107,22
kb_987_Normalized,837,173,558,558,538,855,1204,1204,1204,1204,1307,2
kb_986_Normalized,837,173,558,558,538,855,1204,1204,1204,1204,1307,2
kb_989_Normalized,837,173,558,558,538,855,1204,1204,1204,1204,1307,2
kb_55_Normalized,849,188,678,678,678,1130,1313,1313,1313,1313,1877,32
kb_56_Normalized,849,188,678,678,658,1091,1313,1313,1313,1313,1877,32
kb_59_Normalized,858,166,524,524,443,768,815,815,815,815,960,2
kb_60_Normalized,858,166,524,524,443,768,815,815,815,815,960,2
kb_923_Normalized,881,171,604,604,604,918,1230,1230,1230,1230,1501,14
kb_925_Normalized,881,171,604,604,604,918,1230,1230,1230,1230,1501,14
kb_15_Normalized,896,118,364,364,364,602,816,816,816,816,1241,2
kb_14_Normalized,896,118,364,364,364,602,816,816,816,816,1241,2
kb_158_Normalized,912,167,638,638,585,999,1114,1114,1114,1114,1538,21
kb_155_Normalized,912,167,638,638,585,999,1114,1114,1114,1114,1538,21
kb_157_Normalized,912,167,638,638,585,999,1114,1114,1114,1114,1538,21
kb_156_Normalized,912,167,638,638,585,999,1114,1114,1114,1114,1538,21
kb_656_Normalized,914,356,915,915,915,1030,1766,1766,1766,1766,1894,2
kb_655_Normalized,914,356,915,915,915,1030,1766,1766,1766,1766,1894,2
kb_654_Normalized,914,356,915,915,915,1030,1766,1766,1766,1766,1894,2
kb_1074_Normalized,937,150,464,464,464,745,1326,1326,1326,1326,1647,2
kb_1075_Normalized,937,150,464,464,464,745,1326,1326,1326,1326,1647,2
kb_1073_Normalized,937,150,464,464,464,745,1326,1326,1326,1326,1647,2
kb_753_Normalized,948,167,574,574,574,934,1049,1049,1049,1049,1553,15
kb_752_Normalized,948,167,574,574,554,895,1049,1049,1049,1049,1553,15
kb_619_Normalized,949,351,956,956,956,1102,1345,1345,1345,1345,2591,2
kb_618_Normalized,949,351,956,956,956,1102,1345,1345,1345,1345,2591,2
kb_962_Normalized,950,162,516,516,435,760,803,803,803,803,952,2
kb_680_Normalized,950,140,441,441,388,660,735,735,735,735,942,2
kb_961_Normalized,950,162,516,516,435,760,803,803,803,803,952,2
kb_679_Normalized,950,140,441,441,388,660,735,735,735,735,942,2
kb_13_Normalized,959,118,364,364,364,602,816,816,816,816,1241,2
kb_673_Normalized,964,140,489,489,489,777,923,923,923,923,1457,16
kb_674_Normalized,964,140,489,489,489,777,923,923,923,923,1457,16
kb_1088_Normalized,975,165,634,634,581,995,1104,1104,1104,1104,1526,21
kb_1087_Normalized,975,165,634,634,581,995,1104,1104,1104,1104,1526,21
kb_1061_Normalized,1042,379,1225,1225,1225,1575,1528,1528,1528,1528,2233,10
kb_1060_Normalized,1042,379,1225,1225,1225,1575,1528,1528,1528,1528,2233,10
kb_639_Normalized,1046,212,703,703,641,977,1462,1462,1462,1462,1831,12
kb_641_Normalized,1046,212,703,703,641,977,1462,1462,1462,1462,1831,12
kb_640_Normalized,1046,212,703,703,641,977,1462,1462,1462,1462,1831,12
kb_417_Normalized,1054,258,962,962,906,1428,1707,1707,1707,1707,2121,39
kb_418_Normalized,1054,258,962,962,906,1428,1707,1707,1707,1707,2121,39
kb_1069_Normalized,1069,370,1031,1031,1031,1400,1584,1584,1584,1584,2394,37
kb_1068_Normalized,1069,370,1031,1031,1031,1400,1584,1584,1584,1584,2394,37
kb_473_Normalized,1073,164,573,573,573,904,1414,1414,1414,1414,1873,11
kb_472_Normalized,1073,164,573,573,573,904,1414,1414,1414,1414,1873,11
kb_1128_Normalized,1077,314,776,776,776,1003,1136,1136,1136,1136,1744,2
kb_1130_Normalized,1078,314,776,776,776,1003,1136,1136,1136,1136,1744,2
kb_1129_Normalized,1078,314,776,776,776,1003,1136,1136,1136,1136,1744,2
kb_1127_Normalized,1078,314,776,776,776,1003,1136,1136,1136,1136,1744,2
kb_600_Normalized,1078,365,1116,1116,1116,1416,1348,1348,1348,1348,1849,2
kb_599_Normalized,1078,365,1116,1116,1116,1416,1348,1348,1348,1348,1849,2
kb_995_Normalized,1094,336,845,845,845,941,1253,1253,1253,1253,2217,2
kb_994_Normalized,1094,336,845,845,845,941,1253,1253,1253,1253,2217,2
kb_605_Normalized,1097,170,642,642,622,1055,1250,1250,1250,1250,1805,23
kb_604_Normalized,1097,170,642,642,622,1055,1250,1250,1250,1250,1805,23
kb_99_Normalized,1098,196,727,727,646,1113,1221,1221,1221,1221,1602,23
kb_100_Normalized,1098,196,727,727,646,1113,1221,1221,1221,1221,1602,23
kb_471_Normalized,1100,164,573,573,573,904,1414,1414,1414,1414,1873,11
kb_54_Normalized,1112,226,785,785,737,1223,1471,1471,1471,1471,2003,32
kb_53_Normalized,1112,226,785,785,737,1223,1471,1471,1471,1471,2003,32
kb_1140_Normalized,1123,217,707,707,626,1001,1088,1088,1088,1088,1394,17
kb_1141_Normalized,1123,217,707,707,626,1001,1088,1088,1088,1088,1394,17
kb_906_Normalized,1142,221,687,687,687,1018,1565,1565,1565,1565,1983,31
kb_905_Normalized,1142,221,687,687,687,1018,1565,1565,1565,1565,1983,31
kb_904_Normalized,1142,221,687,687,687,1018,1565,1565,1565,1565,1983,31
kb_984_Normalized,1145,232,850,850,802,1314,1674,1674,1674,1674,1929,26
kb_985_Normalized,1145,232,850,850,850,1400,1674,1674,1674,1674,1929,26
kb_983_Normalized,1148,232,850,850,802,1314,1674,1674,1674,1674,1929,26
kb_988_Normalized,1148,232,850,850,802,1314,1674,1674,1674,1674,1929,26
kb_982_Normalized,1148,232,850,850,850,1400,1674,1674,1674,1674,1929,26
kb_382_Normalized,1153,176,654,654,634,1067,1271,1271,1271,1271,1829,26
kb_381_Normalized,1153,176,654,654,634,1067,1271,1271,1271,1271,1829,26
kb_460_Normalized,1157,151,466,466,466,747,1329,1329,1329,1329,1649,2
kb_462_Normalized,1162,151,466,466,466,747,1329,1329,1329,1329,1649,2
kb_461_Normalized,1162,151,466,466,466,747,1329,1329,1329,1329,1649,2
kb_1160_Normalized,1181,175,511,511,458,730,840,840,840,840,1012,2
kb_1159_Normalized,1181,175,511,511,458,730,840,840,840,840,1012,2
kb_827_Normalized,1206,407,1138,1138,1138,1484,1538,1538,1538,1538,2188,15
kb_828_Normalized,1206,407,1138,1138,1118,1445,1538,1538,1538,1538,2188,15
