objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
wp_76_Normalized,1300,1943,27,1,0,4,8,0,1,2,1,0,4,0,2,1,true,false,true,2,,,,,
wp_89_Normalized,1605,1536,22,1,0,0,9,0,3,1,0,1,4,0,1,0,true,false,true,2,,,,,
wp_80_Normalized,1652,2185,27,1,0,0,9,0,1,2,1,0,4,0,2,1,true,false,true,2,,,,,
wp_10_Normalized,1721,3076,30,1,0,0,1,0,2,2,2,0,6,3,2,5,true,false,true,2,,,,,
wp_85_Normalized,1750,2435,34,0,0,1,11,0,2,2,1,0,8,1,1,0,true,false,true,2,,,,,
wp_119_Normalized,2303,2331,32,0,0,1,10,0,2,3,1,0,5,3,2,2,true,false,true,2,,,,,
wp_68_Normalized,2344,7786,62,0,0,1,13,0,2,4,5,2,20,2,3,0,true,false,true,3,,,,,
wp_75_Normalized,2349,3094,42,1,0,1,23,0,1,1,1,0,8,1,1,0,true,false,true,2,,,,,
wp_115_Normalized,2424,3533,35,0,0,1,10,0,1,2,1,0,6,0,3,5,true,false,true,2,,,,,
wp_22_Normalized,2696,3317,28,0,0,0,9,0,1,3,1,1,5,1,2,1,true,false,true,2,,,,,
wp_111_Normalized,2754,5332,36,0,0,1,12,0,2,3,3,1,6,1,2,1,true,false,true,2,,,,,
wp_48_Normalized,2754,7503,35,0,0,0,6,0,1,4,4,0,6,2,2,0,true,false,true,2,,,,,
wp_79_Normalized,2790,3496,35,0,1,0,15,0,1,3,1,0,7,0,2,1,true,false,true,2,,,,,
wp_32_Normalized,2819,3658,32,0,0,0,11,0,1,3,1,0,7,0,2,2,true,false,true,2,,,,,
wp_24_Normalized,2829,3506,31,1,0,0,10,0,1,2,1,0,6,0,2,2,true,false,true,2,,,,,
wp_18_Normalized,2905,3713,31,0,1,0,10,0,1,2,1,0,5,0,2,2,true,false,true,2,,,,,
wp_25_Normalized,2930,4134,34,0,0,1,11,0,1,3,1,0,5,0,3,3,true,false,true,2,,,,,
wp_19_Normalized,2958,3963,31,0,0,0,10,0,1,3,1,0,7,1,2,3,true,false,true,2,,,,,
wp_20_Normalized,3139,3819,32,0,0,1,10,0,2,2,1,0,6,1,2,2,true,false,true,2,,,,,
wp_57_Normalized,3211,14447,190,0,1,2,18,0,5,8,11,1,101,9,6,4,true,false,true,3,,,,,
wp_30_Normalized,3214,4008,33,0,0,1,11,0,1,3,1,1,7,1,2,2,true,false,true,2,,,,,
wp_114_Normalized,3315,4419,34,0,0,0,11,0,0,2,2,0,8,1,2,3,true,false,true,2,,,,,
wp_34_Normalized,3589,4746,33,0,0,0,10,0,0,3,1,0,6,1,3,3,true,false,true,2,,,,,
wp_103_Normalized,3621,5325,40,0,1,0,2,0,0,3,3,1,10,0,3,3,true,false,true,2,,,,,
wp_51_Normalized,3689,3867,32,0,1,0,11,0,2,2,0,0,5,2,2,1,true,false,true,2,,,,,
wp_112_Normalized,4072,8210,49,1,0,0,13,0,2,4,4,0,8,1,4,4,true,false,true,2,,,,,
wp_107_Normalized,4292,3879,28,1,0,0,9,0,1,3,1,0,5,0,2,1,true,false,true,2,,,,,
wp_21_Normalized,4598,9943,111,1,1,12,39,0,13,4,12,1,11,3,4,4,true,false,true,2,,,,,
wp_113_Normalized,4621,9931,82,1,0,0,15,0,1,4,3,1,32,6,4,3,true,false,true,3,,,,,
wp_47_Normalized,4765,3893,26,0,0,0,9,0,0,2,0,1,6,0,3,0,true,false,true,2,,,,,
wp_74_Normalized,4842,10439,95,0,0,0,37,0,9,5,9,0,22,1,2,1,true,false,true,2,,,,,
wp_116_Normalized,5076,6625,55,0,0,1,16,0,2,4,2,0,13,1,2,7,true,false,true,2,,,,,
wp_33_Normalized,5213,7612,71,0,0,1,12,0,2,4,5,2,28,2,5,4,true,false,true,2,,,,,
wp_11_Normalized,5304,8391,57,1,0,1,21,0,1,4,3,1,14,1,3,4,true,false,true,2,,,,,
wp_13_Normalized,5621,5915,49,0,1,0,17,0,1,4,2,0,11,1,2,3,true,false,true,2,,,,,
wp_28_Normalized,5664,14789,91,1,0,0,21,0,1,4,2,2,40,3,4,4,true,false,true,2,,,,,
wp_12_Normalized,5757,8723,95,0,1,1,22,0,5,6,4,2,18,2,4,6,true,false,true,2,,,,,
wp_117_Normalized,5770,5933,75,0,1,0,16,0,4,17,3,2,15,1,6,1,true,false,true,2,,,,,
wp_29_Normalized,5872,14226,115,2,0,0,33,0,2,6,2,3,48,2,4,2,true,false,true,2,,,,,
wp_16_Normalized,5990,8148,70,1,0,0,12,0,6,6,4,1,19,1,4,6,true,false,true,2,,,,,
wp_23_Normalized,6047,6700,42,1,0,0,17,0,1,3,1,0,9,0,2,2,true,false,true,2,,,,,
wp_73_Normalized,6162,7500,60,0,1,0,29,0,4,4,2,0,12,1,3,0,true,false,true,2,,,,,
wp_14_Normalized,6449,13247,86,0,1,0,16,0,4,5,4,0,32,5,3,3,true,false,true,3,,,,,
wp_118_Normalized,6845,8036,38,0,0,0,9,0,0,3,1,0,12,1,3,1,true,false,true,2,,,,,
wp_81_Normalized,7837,14923,85,0,0,1,31,0,7,5,5,0,19,1,3,3,true,false,true,2,,,,,
wp_31_Normalized,8311,9852,62,1,0,0,17,0,1,4,1,1,23,1,3,2,true,false,true,2,,,,,
wp_2_Normalized,8902,12126,71,1,0,0,9,0,4,8,3,2,19,4,4,5,true,false,true,2,,,,,
wp_100_Normalized,9749,18979,134,0,1,0,33,0,4,6,5,3,52,4,4,0,true,false,true,3,,,,,
